x,y,z,size,hollow_id
0.50611806,-0.023796394,3.7569833,large,1
-1.3983486,-0.41355163,5.989971,large,2
0.0931237,-0.17071755,8.938673,large,3
-2.1776493,1.7211362,11.188825,large,4
1.8023674,-2.4776518,10.594337,large,5
1.5394995,-2.1481187,8.072478,large,6
-2.462279,2.0757492,6.30251,medium,7
-4.048169,4.7988276,7.5828724,medium,8
-3.510206,4.5563307,13.322344,small,9
-0.6651027,-1.5421485,13.670696,small,10
3.0774262,-1.3265227,14.561424,small,11
