Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\temp_blends\template_instantiations\compositor_sizes__city_single-state_yr180__4.10__20260412_104824.blend"
Fra:1 Mem:23047.07M (Peak 24312.69M) | Time:00:01.73 | Compositing | Operation 61-69
Fra:1 Mem:23426.76M (Peak 24312.69M) | Time:00:01.82 | Compositing | Operation 62-69
Fra:1 Mem:22920.51M (Peak 24312.69M) | Time:00:01.94 | Compositing | Operation 63-69
Fra:1 Mem:22920.51M (Peak 24312.69M) | Time:00:01.94 | Compositing | Operation 64-69
Fra:1 Mem:23300.19M (Peak 24312.69M) | Time:00:02.01 | Compositing | Operation 65-69
Fra:1 Mem:22793.94M (Peak 24312.69M) | Time:00:02.14 | Compositing | Operation 66-69
Fra:1 Mem:22793.94M (Peak 24312.69M) | Time:00:02.14 | Compositing | Operation 67-69
Fra:1 Mem:22793.94M (Peak 24312.69M) | Time:00:02.14 | Compositing | Operation 68-69
Fra:1 Mem:22287.69M (Peak 24312.69M) | Time:00:02.23 | Compositing | Operation 69-69
Fra:1 Mem:22793.95M (Peak 24312.69M) | Time:00:02.74 | Compositing | Operation 70-69
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\city_single-state_yr180\sizes__20260412_104824\trending_size_combined.png'
Time: 00:06.18 (Saving: 00:03.42)

Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.01 | Compositing | Initializing execution
Fra:1 Mem:21907.98M (Peak 21907.98M) | Time:00:00.02 | Compositing | Operation 2-15
Fra:1 Mem:21907.98M (Peak 22034.54M) | Time:00:00.06 | Compositing | Operation 3-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.14 | Compositing | Operation 4-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.14 | Compositing | Operation 5-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.14 | Compositing | Operation 6-15
Fra:1 Mem:22414.23M (Peak 22414.23M) | Time:00:00.16 | Compositing | Operation 7-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:01.05 | Compositing | Operation 8-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:01.05 | Compositing | Operation 9-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:01.14 | Compositing | Operation 10-15
Fra:1 Mem:22034.54M (Peak 23679.86M) | Time:00:01.18 | Compositing | Operation 11-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:01.21 | Compositing | Operation 12-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:01.21 | Compositing | Operation 13-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:01.21 | Compositing | Operation 14-15
Fra:1 Mem:22287.67M (Peak 23679.86M) | Time:00:01.30 | Compositing | Operation 15-15
Fra:1 Mem:22793.92M (Peak 23679.86M) | Time:00:01.67 | Compositing | Operation 16-15
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\city_single-state_yr180\sizes__20260412_104824\trending_artificial.png'
Time: 00:04.20 (Saving: 00:02.52)

Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.01 | Compositing | Initializing execution
Fra:1 Mem:21907.98M (Peak 21907.98M) | Time:00:00.05 | Compositing | Operation 2-15
Fra:1 Mem:21907.98M (Peak 22034.54M) | Time:00:00.11 | Compositing | Operation 3-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.18 | Compositing | Operation 4-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.18 | Compositing | Operation 5-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.18 | Compositing | Operation 6-15
Fra:1 Mem:22414.23M (Peak 22414.23M) | Time:00:00.20 | Compositing | Operation 7-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.71 | Compositing | Operation 8-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.71 | Compositing | Operation 9-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.74 | Compositing | Operation 10-15
Fra:1 Mem:22034.54M (Peak 23679.86M) | Time:00:00.77 | Compositing | Operation 11-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:00.81 | Compositing | Operation 12-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:00.81 | Compositing | Operation 13-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:00.81 | Compositing | Operation 14-15
Fra:1 Mem:22287.67M (Peak 23679.86M) | Time:00:00.87 | Compositing | Operation 15-15
Fra:1 Mem:22793.92M (Peak 23679.86M) | Time:00:01.15 | Compositing | Operation 16-15
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\city_single-state_yr180\sizes__20260412_104824\trending_fallen.png'
Time: 00:04.11 (Saving: 00:02.96)

Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.00 | Compositing | Initializing execution
Fra:1 Mem:21907.98M (Peak 21907.98M) | Time:00:00.03 | Compositing | Operation 2-15
Fra:1 Mem:21907.98M (Peak 22034.54M) | Time:00:00.10 | Compositing | Operation 3-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.19 | Compositing | Operation 4-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.19 | Compositing | Operation 5-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.19 | Compositing | Operation 6-15
Fra:1 Mem:22414.23M (Peak 22414.23M) | Time:00:00.21 | Compositing | Operation 7-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.98 | Compositing | Operation 8-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.98 | Compositing | Operation 9-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:01.01 | Compositing | Operation 10-15
Fra:1 Mem:22034.54M (Peak 23679.86M) | Time:00:01.05 | Compositing | Operation 11-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:01.08 | Compositing | Operation 12-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:01.08 | Compositing | Operation 13-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:01.08 | Compositing | Operation 14-15
Fra:1 Mem:22287.67M (Peak 23679.86M) | Time:00:01.15 | Compositing | Operation 15-15
Fra:1 Mem:22793.92M (Peak 23679.86M) | Time:00:01.41 | Compositing | Operation 16-15
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\city_single-state_yr180\sizes__20260412_104824\trending_snag.png'
Time: 00:04.04 (Saving: 00:02.62)

Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.01 | Compositing | Initializing execution
Fra:1 Mem:21907.98M (Peak 21907.98M) | Time:00:00.04 | Compositing | Operation 2-15
Fra:1 Mem:21907.98M (Peak 22034.54M) | Time:00:00.12 | Compositing | Operation 3-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.18 | Compositing | Operation 4-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.18 | Compositing | Operation 5-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.18 | Compositing | Operation 6-15
Fra:1 Mem:22414.23M (Peak 22414.23M) | Time:00:00.20 | Compositing | Operation 7-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.79 | Compositing | Operation 8-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.79 | Compositing | Operation 9-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.82 | Compositing | Operation 10-15
Fra:1 Mem:22034.54M (Peak 23679.86M) | Time:00:00.87 | Compositing | Operation 11-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:00.91 | Compositing | Operation 12-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:00.91 | Compositing | Operation 13-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:00.91 | Compositing | Operation 14-15
Fra:1 Mem:22287.67M (Peak 23679.86M) | Time:00:01.00 | Compositing | Operation 15-15
Fra:1 Mem:22793.92M (Peak 23679.86M) | Time:00:01.38 | Compositing | Operation 16-15
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\city_single-state_yr180\sizes__20260412_104824\trending_senescing.png'
Time: 00:04.10 (Saving: 00:02.71)

Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.00 | Compositing | Initializing execution
Fra:1 Mem:21907.98M (Peak 21907.98M) | Time:00:00.02 | Compositing | Operation 2-15
Fra:1 Mem:21907.98M (Peak 22034.54M) | Time:00:00.06 | Compositing | Operation 3-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.12 | Compositing | Operation 4-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.12 | Compositing | Operation 5-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.12 | Compositing | Operation 6-15
Fra:1 Mem:22414.23M (Peak 22414.23M) | Time:00:00.14 | Compositing | Operation 7-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.67 | Compositing | Operation 8-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.67 | Compositing | Operation 9-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.70 | Compositing | Operation 10-15
Fra:1 Mem:22034.54M (Peak 23679.86M) | Time:00:00.76 | Compositing | Operation 11-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:00.80 | Compositing | Operation 12-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:00.80 | Compositing | Operation 13-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:00.80 | Compositing | Operation 14-15
Fra:1 Mem:22287.67M (Peak 23679.86M) | Time:00:00.88 | Compositing | Operation 15-15
Fra:1 Mem:22793.92M (Peak 23679.86M) | Time:00:01.22 | Compositing | Operation 16-15
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\city_single-state_yr180\sizes__20260412_104824\trending_large.png'
Time: 00:04.16 (Saving: 00:02.93)

Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.01 | Compositing | Initializing execution
Fra:1 Mem:21907.98M (Peak 21907.98M) | Time:00:00.03 | Compositing | Operation 2-15
Fra:1 Mem:21907.98M (Peak 22034.54M) | Time:00:00.13 | Compositing | Operation 3-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.21 | Compositing | Operation 4-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.21 | Compositing | Operation 5-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.21 | Compositing | Operation 6-15
Fra:1 Mem:22414.23M (Peak 22414.23M) | Time:00:00.22 | Compositing | Operation 7-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.78 | Compositing | Operation 8-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.78 | Compositing | Operation 9-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.82 | Compositing | Operation 10-15
Fra:1 Mem:22034.54M (Peak 23679.86M) | Time:00:00.86 | Compositing | Operation 11-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:00.90 | Compositing | Operation 12-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:00.90 | Compositing | Operation 13-15
