Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\temp_blends\template_instantiations\compositor_bioenvelope__city_single-state_yr180__4.10__20260412_104824.blend"
Fra:1 Mem:19756.75M (Peak 20263.00M) | Time:00:02.26 | Compositing | Operation 61-248
Fra:1 Mem:20136.44M (Peak 20263.00M) | Time:00:02.32 | Compositing | Operation 62-248
Fra:1 Mem:20136.44M (Peak 20263.00M) | Time:00:02.32 | Compositing | Operation 63-248
Fra:1 Mem:20136.44M (Peak 20263.00M) | Time:00:02.32 | Compositing | Operation 64-248
Fra:1 Mem:20263.00M (Peak 20263.00M) | Time:00:02.34 | Compositing | Operation 65-248
Fra:1 Mem:20263.00M (Peak 20263.00M) | Time:00:02.34 | Compositing | Operation 66-248
Fra:1 Mem:20642.69M (Peak 20769.25M) | Time:00:02.40 | Compositing | Operation 67-248
Fra:1 Mem:21022.38M (Peak 21148.94M) | Time:00:02.46 | Compositing | Operation 68-248
Fra:1 Mem:21022.38M (Peak 21148.94M) | Time:00:02.46 | Compositing | Operation 69-248
Fra:1 Mem:21022.38M (Peak 21148.94M) | Time:00:02.46 | Compositing | Operation 70-248
Fra:1 Mem:21022.38M (Peak 21148.94M) | Time:00:02.46 | Compositing | Operation 71-248
Fra:1 Mem:21148.94M (Peak 21148.94M) | Time:00:02.48 | Compositing | Operation 72-248
Fra:1 Mem:21148.94M (Peak 21148.94M) | Time:00:02.48 | Compositing | Operation 73-248
Fra:1 Mem:21528.63M (Peak 21655.19M) | Time:00:02.54 | Compositing | Operation 74-248
Fra:1 Mem:21908.32M (Peak 22034.88M) | Time:00:02.59 | Compositing | Operation 75-248
Fra:1 Mem:21908.32M (Peak 22034.88M) | Time:00:02.59 | Compositing | Operation 76-248
Fra:1 Mem:21908.32M (Peak 22034.88M) | Time:00:02.59 | Compositing | Operation 77-248
Fra:1 Mem:21908.32M (Peak 22034.88M) | Time:00:02.59 | Compositing | Operation 78-248
Fra:1 Mem:22034.88M (Peak 22034.88M) | Time:00:02.62 | Compositing | Operation 79-248
Fra:1 Mem:22034.88M (Peak 22034.88M) | Time:00:02.62 | Compositing | Operation 80-248
Fra:1 Mem:22414.57M (Peak 22541.13M) | Time:00:02.68 | Compositing | Operation 81-248
Fra:1 Mem:22794.25M (Peak 22920.82M) | Time:00:02.73 | Compositing | Operation 82-248
Fra:1 Mem:22794.25M (Peak 22920.82M) | Time:00:02.73 | Compositing | Operation 83-248
Fra:1 Mem:22794.25M (Peak 22920.82M) | Time:00:02.73 | Compositing | Operation 84-248
Fra:1 Mem:22794.25M (Peak 23300.50M) | Time:00:02.80 | Compositing | Operation 85-248
Fra:1 Mem:22794.25M (Peak 23300.50M) | Time:00:02.80 | Compositing | Operation 86-248
Fra:1 Mem:22794.25M (Peak 23300.50M) | Time:00:02.88 | Compositing | Operation 87-248
Fra:1 Mem:22794.25M (Peak 23300.50M) | Time:00:02.88 | Compositing | Operation 88-248
Fra:1 Mem:22794.25M (Peak 23300.50M) | Time:00:02.95 | Compositing | Operation 89-248
Fra:1 Mem:22920.82M (Peak 23300.50M) | Time:00:02.98 | Compositing | Operation 90-248
Fra:1 Mem:22920.82M (Peak 23300.50M) | Time:00:02.98 | Compositing | Operation 91-248
Fra:1 Mem:23300.50M (Peak 23427.07M) | Time:00:03.05 | Compositing | Operation 92-248
Fra:1 Mem:23300.50M (Peak 23806.75M) | Time:00:03.14 | Compositing | Operation 93-248
Fra:1 Mem:23300.50M (Peak 23806.75M) | Time:00:03.14 | Compositing | Operation 94-248
Fra:1 Mem:23300.50M (Peak 23806.75M) | Time:00:03.14 | Compositing | Operation 95-248
Fra:1 Mem:23300.50M (Peak 23806.75M) | Time:00:03.14 | Compositing | Operation 96-248
Fra:1 Mem:23427.07M (Peak 23806.75M) | Time:00:03.17 | Compositing | Operation 97-248
Fra:1 Mem:23427.07M (Peak 23806.75M) | Time:00:03.17 | Compositing | Operation 98-248
Fra:1 Mem:23806.75M (Peak 23933.32M) | Time:00:03.23 | Compositing | Operation 99-248
Fra:1 Mem:23806.75M (Peak 24313.00M) | Time:00:03.32 | Compositing | Operation 100-248
Fra:1 Mem:23806.75M (Peak 24313.00M) | Time:00:03.32 | Compositing | Operation 101-248
Fra:1 Mem:23806.75M (Peak 24313.00M) | Time:00:03.32 | Compositing | Operation 102-248
Fra:1 Mem:23806.75M (Peak 24313.00M) | Time:00:03.32 | Compositing | Operation 103-248
Fra:1 Mem:23933.32M (Peak 24313.00M) | Time:00:03.34 | Compositing | Operation 104-248
Fra:1 Mem:23933.32M (Peak 24313.00M) | Time:00:03.34 | Compositing | Operation 105-248
Fra:1 Mem:24313.00M (Peak 24439.57M) | Time:00:03.41 | Compositing | Operation 106-248
