Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\temp_blends\template_instantiations\compositor_sizes__city_baseline_2input__20260411_1621.blend"
Fra:1 Mem:23300.20M (Peak 24312.70M) | Time:00:02.51 | Compositing | Operation 61-76
Fra:1 Mem:23300.20M (Peak 24312.70M) | Time:00:02.56 | Compositing | Operation 62-76
Fra:1 Mem:23300.20M (Peak 24312.70M) | Time:00:02.56 | Compositing | Operation 63-76
Fra:1 Mem:23679.89M (Peak 24312.70M) | Time:00:02.64 | Compositing | Operation 64-76
Fra:1 Mem:23173.64M (Peak 24312.70M) | Time:00:02.74 | Compositing | Operation 65-76
Fra:1 Mem:23173.64M (Peak 24312.70M) | Time:00:02.74 | Compositing | Operation 66-76
Fra:1 Mem:23047.08M (Peak 24312.70M) | Time:00:02.79 | Compositing | Operation 67-76
Fra:1 Mem:23047.08M (Peak 24312.70M) | Time:00:02.79 | Compositing | Operation 68-76
Fra:1 Mem:23426.77M (Peak 24312.70M) | Time:00:02.87 | Compositing | Operation 69-76
Fra:1 Mem:22920.52M (Peak 24312.70M) | Time:00:02.97 | Compositing | Operation 70-76
Fra:1 Mem:22920.52M (Peak 24312.70M) | Time:00:02.97 | Compositing | Operation 71-76
Fra:1 Mem:23300.20M (Peak 24312.70M) | Time:00:03.04 | Compositing | Operation 72-76
Fra:1 Mem:22793.95M (Peak 24312.70M) | Time:00:03.14 | Compositing | Operation 73-76
Fra:1 Mem:22793.95M (Peak 24312.70M) | Time:00:03.14 | Compositing | Operation 74-76
Fra:1 Mem:22793.95M (Peak 24312.70M) | Time:00:03.14 | Compositing | Operation 75-76
Fra:1 Mem:22287.70M (Peak 24312.70M) | Time:00:03.32 | Compositing | Operation 76-76
Fra:1 Mem:22793.96M (Peak 24312.70M) | Time:00:03.57 | Compositing | Operation 77-76
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.9\city_baseline\sizes__20260411_1621__2input-positive-priority\priority_size_combined.png'
Time: 00:06.75 (Saving: 00:03.16)

Fra:1 Mem:21781.36M (Peak 21781.36M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.36M (Peak 21781.36M) | Time:00:00.01 | Compositing | Initializing execution
Fra:1 Mem:21907.99M (Peak 21907.99M) | Time:00:00.05 | Compositing | Operation 2-22
Fra:1 Mem:22034.55M (Peak 22034.55M) | Time:00:00.07 | Compositing | Operation 3-22
Fra:1 Mem:22034.55M (Peak 22161.12M) | Time:00:00.14 | Compositing | Operation 4-22
Fra:1 Mem:22034.55M (Peak 22161.12M) | Time:00:00.19 | Compositing | Operation 5-22
Fra:1 Mem:22414.24M (Peak 22540.80M) | Time:00:00.27 | Compositing | Operation 6-22
Fra:1 Mem:22793.93M (Peak 22920.49M) | Time:00:00.34 | Compositing | Operation 7-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:00.94 | Compositing | Operation 8-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.54 | Compositing | Operation 9-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.54 | Compositing | Operation 10-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.54 | Compositing | Operation 11-22
Fra:1 Mem:22920.49M (Peak 24059.55M) | Time:00:01.56 | Compositing | Operation 12-22
Fra:1 Mem:22920.49M (Peak 24059.55M) | Time:00:01.56 | Compositing | Operation 13-22
Fra:1 Mem:22540.80M (Peak 24059.55M) | Time:00:01.60 | Compositing | Operation 14-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.64 | Compositing | Operation 15-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.64 | Compositing | Operation 16-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.67 | Compositing | Operation 17-22
Fra:1 Mem:22034.55M (Peak 24059.55M) | Time:00:01.71 | Compositing | Operation 18-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.75 | Compositing | Operation 19-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.75 | Compositing | Operation 20-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.75 | Compositing | Operation 21-22
Fra:1 Mem:22287.68M (Peak 24059.55M) | Time:00:01.82 | Compositing | Operation 22-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:02.11 | Compositing | Operation 23-22
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.9\city_baseline\sizes__20260411_1621__2input-positive-priority\priority_artificial.png'
Time: 00:04.89 (Saving: 00:02.77)

Fra:1 Mem:21781.36M (Peak 21781.36M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.36M (Peak 21781.36M) | Time:00:00.01 | Compositing | Initializing execution
Fra:1 Mem:21907.99M (Peak 21907.99M) | Time:00:00.05 | Compositing | Operation 2-22
Fra:1 Mem:22034.55M (Peak 22034.55M) | Time:00:00.08 | Compositing | Operation 3-22
Fra:1 Mem:22034.55M (Peak 22161.12M) | Time:00:00.13 | Compositing | Operation 4-22
Fra:1 Mem:22034.55M (Peak 22161.12M) | Time:00:00.18 | Compositing | Operation 5-22
