Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\temp_blends\template_instantiations\compositor_mist__city_single-state_yr180__4.10__20260412_114600.blend"
Fra:1 Mem:7099.46M (Peak 7605.71M) | Time:00:01.70 | Compositing | Operation 61-139
Fra:1 Mem:6719.77M (Peak 7605.71M) | Time:00:01.74 | Compositing | Operation 62-139
Fra:1 Mem:6719.77M (Peak 7605.71M) | Time:00:01.74 | Compositing | Operation 63-139
Fra:1 Mem:6719.77M (Peak 7605.71M) | Time:00:01.88 | Compositing | Operation 64-139
Fra:1 Mem:6719.77M (Peak 7605.71M) | Time:00:02.03 | Compositing | Operation 65-139
Fra:1 Mem:6593.21M (Peak 7605.71M) | Time:00:02.07 | Compositing | Operation 66-139
Fra:1 Mem:6593.21M (Peak 7605.71M) | Time:00:02.07 | Compositing | Operation 67-139
Fra:1 Mem:6972.89M (Peak 7605.71M) | Time:00:02.13 | Compositing | Operation 68-139
Fra:1 Mem:6972.89M (Peak 7605.71M) | Time:00:02.13 | Compositing | Operation 69-139
Fra:1 Mem:6972.89M (Peak 7605.71M) | Time:00:02.22 | Compositing | Operation 70-139
Fra:1 Mem:6972.89M (Peak 7605.71M) | Time:00:02.31 | Compositing | Operation 71-139
Fra:1 Mem:6972.89M (Peak 7605.71M) | Time:00:02.31 | Compositing | Operation 72-139
Fra:1 Mem:7099.46M (Peak 7605.71M) | Time:00:02.34 | Compositing | Operation 73-139
Fra:1 Mem:6719.77M (Peak 7605.71M) | Time:00:02.37 | Compositing | Operation 74-139
Fra:1 Mem:6593.21M (Peak 7605.71M) | Time:00:02.41 | Compositing | Operation 75-139
Fra:1 Mem:6593.21M (Peak 7605.71M) | Time:00:02.41 | Compositing | Operation 76-139
Fra:1 Mem:6593.21M (Peak 7605.71M) | Time:00:02.41 | Compositing | Operation 77-139
Fra:1 Mem:6972.89M (Peak 7605.71M) | Time:00:02.47 | Compositing | Operation 78-139
Fra:1 Mem:7985.40M (Peak 7985.40M) | Time:00:02.78 | Compositing | Operation 79-139
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\city_single-state_yr180\mist__20260412_114600\_tmp_trending\_discard_render.png'
Time: 00:05.71 (Saving: 00:02.88)

Fra:1 Mem:5454.02M (Peak 5454.02M) | Time:00:00.00 | Compositing
Fra:1 Mem:5454.02M (Peak 5454.02M) | Time:00:00.01 | Compositing | Initializing execution
Fra:1 Mem:5580.68M (Peak 5580.68M) | Time:00:00.04 | Compositing | Operation 2-78
Fra:1 Mem:5707.24M (Peak 5707.24M) | Time:00:00.06 | Compositing | Operation 3-78
Fra:1 Mem:5707.24M (Peak 5833.80M) | Time:00:00.15 | Compositing | Operation 4-78
Fra:1 Mem:5707.24M (Peak 5833.80M) | Time:00:00.23 | Compositing | Operation 5-78
Fra:1 Mem:6086.93M (Peak 6213.49M) | Time:00:00.30 | Compositing | Operation 6-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.38 | Compositing | Operation 7-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.38 | Compositing | Operation 8-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.38 | Compositing | Operation 9-78
Fra:1 Mem:6086.93M (Peak 6593.18M) | Time:00:00.41 | Compositing | Operation 10-78
Fra:1 Mem:6086.93M (Peak 6593.18M) | Time:00:00.41 | Compositing | Operation 11-78
Fra:1 Mem:6086.93M (Peak 6593.18M) | Time:00:00.41 | Compositing | Operation 12-78
Fra:1 Mem:6213.49M (Peak 6593.18M) | Time:00:00.43 | Compositing | Operation 13-78
Fra:1 Mem:6213.49M (Peak 6593.18M) | Time:00:00.43 | Compositing | Operation 14-78
Fra:1 Mem:6213.49M (Peak 6593.18M) | Time:00:00.43 | Compositing | Operation 15-78
Fra:1 Mem:6340.05M (Peak 6593.18M) | Time:00:00.45 | Compositing | Operation 16-78
Fra:1 Mem:6340.05M (Peak 6593.18M) | Time:00:00.45 | Compositing | Operation 17-78
Fra:1 Mem:6340.05M (Peak 6593.18M) | Time:00:00.45 | Compositing | Operation 18-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.49 | Compositing | Operation 19-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.49 | Compositing | Operation 20-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.49 | Compositing | Operation 21-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.52 | Compositing | Operation 22-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.52 | Compositing | Operation 23-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.52 | Compositing | Operation 24-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.55 | Compositing | Operation 25-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.55 | Compositing | Operation 26-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.55 | Compositing | Operation 27-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.58 | Compositing | Operation 28-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.58 | Compositing | Operation 29-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.58 | Compositing | Operation 30-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.61 | Compositing | Operation 31-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.61 | Compositing | Operation 32-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.61 | Compositing | Operation 33-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.65 | Compositing | Operation 34-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.65 | Compositing | Operation 35-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.65 | Compositing | Operation 36-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.71 | Compositing | Operation 37-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.71 | Compositing | Operation 38-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.71 | Compositing | Operation 39-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.77 | Compositing | Operation 40-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.77 | Compositing | Operation 41-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.77 | Compositing | Operation 42-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.83 | Compositing | Operation 43-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.86 | Compositing | Operation 44-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.89 | Compositing | Operation 45-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.92 | Compositing | Operation 46-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.96 | Compositing | Operation 47-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:01.03 | Compositing | Operation 48-78
Fra:1 Mem:6086.93M (Peak 6593.18M) | Time:00:01.06 | Compositing | Operation 49-78
Fra:1 Mem:6086.93M (Peak 6593.18M) | Time:00:01.06 | Compositing | Operation 50-78
Fra:1 Mem:6466.61M (Peak 6593.18M) | Time:00:01.12 | Compositing | Operation 51-78
Fra:1 Mem:6466.61M (Peak 6972.86M) | Time:00:01.25 | Compositing | Operation 52-78
Fra:1 Mem:6086.93M (Peak 6972.86M) | Time:00:01.30 | Compositing | Operation 53-78
Fra:1 Mem:6086.93M (Peak 6972.86M) | Time:00:01.30 | Compositing | Operation 54-78
Fra:1 Mem:6086.93M (Peak 6972.86M) | Time:00:01.30 | Compositing | Operation 55-78
Fra:1 Mem:6086.93M (Peak 6972.86M) | Time:00:01.35 | Compositing | Operation 56-78
Fra:1 Mem:6086.93M (Peak 6972.86M) | Time:00:01.38 | Compositing | Operation 57-78
Fra:1 Mem:6086.93M (Peak 6972.86M) | Time:00:01.43 | Compositing | Operation 58-78
Fra:1 Mem:6593.18M (Peak 6972.86M) | Time:00:01.49 | Compositing | Operation 59-78
Fra:1 Mem:6972.86M (Peak 7099.43M) | Time:00:01.55 | Compositing | Operation 60-78
Fra:1 Mem:6593.18M (Peak 7099.43M) | Time:00:01.59 | Compositing | Operation 61-78
Fra:1 Mem:6213.49M (Peak 7099.43M) | Time:00:01.63 | Compositing | Operation 62-78
Fra:1 Mem:6213.49M (Peak 7099.43M) | Time:00:01.63 | Compositing | Operation 63-78
Fra:1 Mem:6213.49M (Peak 7099.43M) | Time:00:01.81 | Compositing | Operation 64-78
Fra:1 Mem:6213.49M (Peak 7099.43M) | Time:00:01.96 | Compositing | Operation 65-78
Fra:1 Mem:6086.93M (Peak 7099.43M) | Time:00:01.99 | Compositing | Operation 66-78
Fra:1 Mem:6086.93M (Peak 7099.43M) | Time:00:01.99 | Compositing | Operation 67-78
Fra:1 Mem:6466.61M (Peak 7099.43M) | Time:00:02.05 | Compositing | Operation 68-78
Fra:1 Mem:6466.61M (Peak 7099.43M) | Time:00:02.05 | Compositing | Operation 69-78
Fra:1 Mem:6466.61M (Peak 7099.43M) | Time:00:02.13 | Compositing | Operation 70-78
Fra:1 Mem:6466.61M (Peak 7099.43M) | Time:00:02.24 | Compositing | Operation 71-78
Fra:1 Mem:6466.61M (Peak 7099.43M) | Time:00:02.24 | Compositing | Operation 72-78
Fra:1 Mem:6086.93M (Peak 7099.43M) | Time:00:02.28 | Compositing | Operation 73-78
Fra:1 Mem:5707.24M (Peak 7099.43M) | Time:00:02.31 | Compositing | Operation 74-78
Fra:1 Mem:5580.68M (Peak 7099.43M) | Time:00:02.35 | Compositing | Operation 75-78
Fra:1 Mem:5580.68M (Peak 7099.43M) | Time:00:02.35 | Compositing | Operation 76-78
Fra:1 Mem:5580.68M (Peak 7099.43M) | Time:00:02.35 | Compositing | Operation 77-78
Fra:1 Mem:5960.36M (Peak 7099.43M) | Time:00:02.40 | Compositing | Operation 78-78
Fra:1 Mem:6466.62M (Peak 7099.43M) | Time:00:02.69 | Compositing | Operation 79-78
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\city_single-state_yr180\mist__20260412_114600\_tmp_trending\mist_kirsch_thin.png'
Time: 00:05.27 (Saving: 00:02.57)

Fra:1 Mem:5454.02M (Peak 5454.02M) | Time:00:00.00 | Compositing
Fra:1 Mem:5454.02M (Peak 5454.02M) | Time:00:00.00 | Compositing | Initializing execution
Fra:1 Mem:5580.68M (Peak 5580.68M) | Time:00:00.03 | Compositing | Operation 2-78
Fra:1 Mem:5707.24M (Peak 5707.24M) | Time:00:00.05 | Compositing | Operation 3-78
Fra:1 Mem:5707.24M (Peak 5833.80M) | Time:00:00.20 | Compositing | Operation 4-78
Fra:1 Mem:5707.24M (Peak 5833.80M) | Time:00:00.28 | Compositing | Operation 5-78
Fra:1 Mem:6086.93M (Peak 6213.49M) | Time:00:00.35 | Compositing | Operation 6-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.43 | Compositing | Operation 7-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.43 | Compositing | Operation 8-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.43 | Compositing | Operation 9-78
Fra:1 Mem:6086.93M (Peak 6593.18M) | Time:00:00.45 | Compositing | Operation 10-78
Fra:1 Mem:6086.93M (Peak 6593.18M) | Time:00:00.45 | Compositing | Operation 11-78
Fra:1 Mem:6086.93M (Peak 6593.18M) | Time:00:00.45 | Compositing | Operation 12-78
Fra:1 Mem:6213.49M (Peak 6593.18M) | Time:00:00.48 | Compositing | Operation 13-78
Fra:1 Mem:6213.49M (Peak 6593.18M) | Time:00:00.48 | Compositing | Operation 14-78
Fra:1 Mem:6213.49M (Peak 6593.18M) | Time:00:00.48 | Compositing | Operation 15-78
Fra:1 Mem:6340.05M (Peak 6593.18M) | Time:00:00.50 | Compositing | Operation 16-78
Fra:1 Mem:6340.05M (Peak 6593.18M) | Time:00:00.50 | Compositing | Operation 17-78
Fra:1 Mem:6340.05M (Peak 6593.18M) | Time:00:00.50 | Compositing | Operation 18-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.54 | Compositing | Operation 19-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.54 | Compositing | Operation 20-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.54 | Compositing | Operation 21-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.58 | Compositing | Operation 22-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.58 | Compositing | Operation 23-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.58 | Compositing | Operation 24-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.61 | Compositing | Operation 25-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.61 | Compositing | Operation 26-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.61 | Compositing | Operation 27-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.64 | Compositing | Operation 28-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.64 | Compositing | Operation 29-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.64 | Compositing | Operation 30-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.67 | Compositing | Operation 31-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.67 | Compositing | Operation 32-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.67 | Compositing | Operation 33-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.71 | Compositing | Operation 34-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.71 | Compositing | Operation 35-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.71 | Compositing | Operation 36-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.76 | Compositing | Operation 37-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.76 | Compositing | Operation 38-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.76 | Compositing | Operation 39-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.81 | Compositing | Operation 40-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.81 | Compositing | Operation 41-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.81 | Compositing | Operation 42-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.88 | Compositing | Operation 43-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.91 | Compositing | Operation 44-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.93 | Compositing | Operation 45-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.96 | Compositing | Operation 46-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.99 | Compositing | Operation 47-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:01.08 | Compositing | Operation 48-78
Fra:1 Mem:6086.93M (Peak 6593.18M) | Time:00:01.11 | Compositing | Operation 49-78
Fra:1 Mem:6086.93M (Peak 6593.18M) | Time:00:01.11 | Compositing | Operation 50-78
Fra:1 Mem:6466.61M (Peak 6593.18M) | Time:00:01.15 | Compositing | Operation 51-78
Fra:1 Mem:6466.61M (Peak 6972.86M) | Time:00:01.28 | Compositing | Operation 52-78
Fra:1 Mem:6086.93M (Peak 6972.86M) | Time:00:01.32 | Compositing | Operation 53-78
Fra:1 Mem:6086.93M (Peak 6972.86M) | Time:00:01.32 | Compositing | Operation 54-78
Fra:1 Mem:6086.93M (Peak 6972.86M) | Time:00:01.32 | Compositing | Operation 55-78
Fra:1 Mem:6086.93M (Peak 6972.86M) | Time:00:01.38 | Compositing | Operation 56-78
Fra:1 Mem:6086.93M (Peak 6972.86M) | Time:00:01.41 | Compositing | Operation 57-78
Fra:1 Mem:6086.93M (Peak 6972.86M) | Time:00:01.46 | Compositing | Operation 58-78
Fra:1 Mem:6593.18M (Peak 6972.86M) | Time:00:01.51 | Compositing | Operation 59-78
Fra:1 Mem:6972.86M (Peak 7099.43M) | Time:00:01.57 | Compositing | Operation 60-78
Fra:1 Mem:6593.18M (Peak 7099.43M) | Time:00:01.61 | Compositing | Operation 61-78
Fra:1 Mem:6213.49M (Peak 7099.43M) | Time:00:01.64 | Compositing | Operation 62-78
Fra:1 Mem:6213.49M (Peak 7099.43M) | Time:00:01.64 | Compositing | Operation 63-78
Fra:1 Mem:6213.49M (Peak 7099.43M) | Time:00:01.79 | Compositing | Operation 64-78
Fra:1 Mem:6213.49M (Peak 7099.43M) | Time:00:01.96 | Compositing | Operation 65-78
Fra:1 Mem:6086.93M (Peak 7099.43M) | Time:00:01.99 | Compositing | Operation 66-78
Fra:1 Mem:6086.93M (Peak 7099.43M) | Time:00:01.99 | Compositing | Operation 67-78
Fra:1 Mem:6466.61M (Peak 7099.43M) | Time:00:02.05 | Compositing | Operation 68-78
Fra:1 Mem:6466.61M (Peak 7099.43M) | Time:00:02.05 | Compositing | Operation 69-78
Fra:1 Mem:6466.61M (Peak 7099.43M) | Time:00:02.13 | Compositing | Operation 70-78
Fra:1 Mem:6466.61M (Peak 7099.43M) | Time:00:02.21 | Compositing | Operation 71-78
Fra:1 Mem:6466.61M (Peak 7099.43M) | Time:00:02.21 | Compositing | Operation 72-78
Fra:1 Mem:6086.93M (Peak 7099.43M) | Time:00:02.24 | Compositing | Operation 73-78
Fra:1 Mem:5707.24M (Peak 7099.43M) | Time:00:02.28 | Compositing | Operation 74-78
Fra:1 Mem:5580.68M (Peak 7099.43M) | Time:00:02.31 | Compositing | Operation 75-78
Fra:1 Mem:5580.68M (Peak 7099.43M) | Time:00:02.31 | Compositing | Operation 76-78
Fra:1 Mem:5580.68M (Peak 7099.43M) | Time:00:02.31 | Compositing | Operation 77-78
Fra:1 Mem:5960.36M (Peak 7099.43M) | Time:00:02.37 | Compositing | Operation 78-78
Fra:1 Mem:6466.62M (Peak 7099.43M) | Time:00:02.73 | Compositing | Operation 79-78
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\city_single-state_yr180\mist__20260412_114600\_tmp_trending\mist_kirsch_fine.png'
Time: 00:05.42 (Saving: 00:02.68)

Fra:1 Mem:5454.02M (Peak 5454.02M) | Time:00:00.00 | Compositing
Fra:1 Mem:5454.02M (Peak 5454.02M) | Time:00:00.01 | Compositing | Initializing execution
Fra:1 Mem:5580.68M (Peak 5580.68M) | Time:00:00.03 | Compositing | Operation 2-78
Fra:1 Mem:5707.24M (Peak 5707.24M) | Time:00:00.05 | Compositing | Operation 3-78
Fra:1 Mem:5707.24M (Peak 5833.80M) | Time:00:00.14 | Compositing | Operation 4-78
Fra:1 Mem:5707.24M (Peak 5833.80M) | Time:00:00.21 | Compositing | Operation 5-78
Fra:1 Mem:6086.93M (Peak 6213.49M) | Time:00:00.27 | Compositing | Operation 6-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.38 | Compositing | Operation 7-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.38 | Compositing | Operation 8-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.38 | Compositing | Operation 9-78
Fra:1 Mem:6086.93M (Peak 6593.18M) | Time:00:00.41 | Compositing | Operation 10-78
Fra:1 Mem:6086.93M (Peak 6593.18M) | Time:00:00.41 | Compositing | Operation 11-78
Fra:1 Mem:6086.93M (Peak 6593.18M) | Time:00:00.41 | Compositing | Operation 12-78
Fra:1 Mem:6213.49M (Peak 6593.18M) | Time:00:00.44 | Compositing | Operation 13-78
Fra:1 Mem:6213.49M (Peak 6593.18M) | Time:00:00.44 | Compositing | Operation 14-78
Fra:1 Mem:6213.49M (Peak 6593.18M) | Time:00:00.44 | Compositing | Operation 15-78
Fra:1 Mem:6340.05M (Peak 6593.18M) | Time:00:00.47 | Compositing | Operation 16-78
Fra:1 Mem:6340.05M (Peak 6593.18M) | Time:00:00.47 | Compositing | Operation 17-78
Fra:1 Mem:6340.05M (Peak 6593.18M) | Time:00:00.47 | Compositing | Operation 18-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.52 | Compositing | Operation 19-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.52 | Compositing | Operation 20-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.52 | Compositing | Operation 21-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.55 | Compositing | Operation 22-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.55 | Compositing | Operation 23-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.55 | Compositing | Operation 24-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.59 | Compositing | Operation 25-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.59 | Compositing | Operation 26-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.59 | Compositing | Operation 27-78
Fra:1 Mem:5960.36M (Peak 6593.18M) | Time:00:00.62 | Compositing | Operation 28-78
