site,year,proposal_id,proposal_label,measure,metric_column,positive_value,trending_value,delta_trending_minus_positive,trending_pct_of_positive,positive_multiple_of_trending
trimmed-parade,0,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,270263,253862,-16401,93.931467,1.064606
trimmed-parade,10,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,8901,21,-8880,0.235929,423.857143
trimmed-parade,10,decay,Decay,decay opportunity voxels,opportunity_voxel_count,11164,39,-11125,0.349337,286.25641
trimmed-parade,10,decay,Decay,trees reaching senescence,opportunity_tree_count,12,1,-11,8.333333,12.0
trimmed-parade,10,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,0,0,,
trimmed-parade,10,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,0,0,,
trimmed-parade,10,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,411345,359040,-52305,87.284396,1.14568
trimmed-parade,10,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,293590,255285,-38305,86.952893,1.150048
trimmed-parade,30,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,37878,22,-37856,0.058081,1721.727273
trimmed-parade,30,decay,Decay,decay opportunity voxels,opportunity_voxel_count,48916,39,-48877,0.079729,1254.25641
trimmed-parade,30,decay,Decay,trees reaching senescence,opportunity_tree_count,94,2,-92,2.12766,47.0
trimmed-parade,30,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,0,0,,
trimmed-parade,30,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,0,0,,
trimmed-parade,30,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,462568,302930,-159638,65.48875,1.52698
trimmed-parade,30,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,309776,200127,-109649,64.603778,1.547897
trimmed-parade,60,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,44163,31,-44132,0.070195,1424.612903
trimmed-parade,60,decay,Decay,decay opportunity voxels,opportunity_voxel_count,57397,39,-57358,0.067948,1471.717949
trimmed-parade,60,decay,Decay,trees reaching senescence,opportunity_tree_count,204,13,-191,6.372549,15.692308
trimmed-parade,60,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,0,0,,
