site,scenario,year,proposal_id,proposal_label,measure,metric_column,value,notes,last_updated
uni,positive,120,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,90,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,120,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,478321,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,positive,120,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,307667,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,positive,150,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,200779,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,positive,150,decay,Decay,decay opportunity voxels,opportunity_voxel_count,54736,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,150,decay,Decay,trees reaching senescence,opportunity_tree_count,108,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,150,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,54157,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,150,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,90,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,150,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,499845,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,positive,150,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,327774,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,positive,180,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,200686,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,positive,180,decay,Decay,decay opportunity voxels,opportunity_voxel_count,54736,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,180,decay,Decay,trees reaching senescence,opportunity_tree_count,108,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,180,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,55586,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,180,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,90,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,180,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,496858,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,positive,180,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,325209,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,trending,0,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,126,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,trending,0,decay,Decay,decay opportunity voxels,opportunity_voxel_count,175,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,0,decay,Decay,trees reaching senescence,opportunity_tree_count,0,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,0,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,0,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,0,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,154311,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,trending,0,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,70508,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,trending,10,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,621,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,trending,10,decay,Decay,decay opportunity voxels,opportunity_voxel_count,779,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,10,decay,Decay,trees reaching senescence,opportunity_tree_count,1,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,10,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,10,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,10,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,153807,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,trending,10,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,70089,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,trending,30,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,1362,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,trending,30,decay,Decay,decay opportunity voxels,opportunity_voxel_count,1623,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,30,decay,Decay,trees reaching senescence,opportunity_tree_count,2,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,30,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,30,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,30,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,138961,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,trending,30,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,55155,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,trending,60,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,2543,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,trending,60,decay,Decay,decay opportunity voxels,opportunity_voxel_count,2841,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,60,decay,Decay,trees reaching senescence,opportunity_tree_count,4,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,60,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,60,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,60,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,162373,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,trending,60,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,76652,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,trending,90,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,3040,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,trending,90,decay,Decay,decay opportunity voxels,opportunity_voxel_count,3522,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,90,decay,Decay,trees reaching senescence,opportunity_tree_count,19,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,90,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,90,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,90,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,181018,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,trending,90,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,95385,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,trending,120,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,3694,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,trending,120,decay,Decay,decay opportunity voxels,opportunity_voxel_count,4211,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,120,decay,Decay,trees reaching senescence,opportunity_tree_count,19,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,120,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,120,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,120,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,244602,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,trending,120,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,156888,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,trending,150,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,4132,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,trending,150,decay,Decay,decay opportunity voxels,opportunity_voxel_count,4726,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,150,decay,Decay,trees reaching senescence,opportunity_tree_count,19,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,150,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,150,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,150,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,260744,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,trending,150,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,172914,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,trending,180,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,4732,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,trending,180,decay,Decay,decay opportunity voxels,opportunity_voxel_count,5227,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,180,decay,Decay,trees reaching senescence,opportunity_tree_count,19,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,180,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,180,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,180,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,261578,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,trending,180,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,174536,All arboreal voxels.,2026-03-29T20:03:13+11:00
