Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_futureSim_refactored\blender\compositor\canonical_templates\compositor_mist.blend"
Fra:1 Mem:6846.41M (Peak 7732.34M) | Time:00:01.77 | Compositing | Operation 62-133
Fra:1 Mem:6846.41M (Peak 7732.34M) | Time:00:01.77 | Compositing | Operation 63-133
Fra:1 Mem:6846.41M (Peak 7732.34M) | Time:00:01.93 | Compositing | Operation 64-133
Fra:1 Mem:6846.41M (Peak 7732.34M) | Time:00:02.07 | Compositing | Operation 65-133
Fra:1 Mem:6719.84M (Peak 7732.34M) | Time:00:02.11 | Compositing | Operation 66-133
Fra:1 Mem:6719.84M (Peak 7732.34M) | Time:00:02.11 | Compositing | Operation 67-133
Fra:1 Mem:7099.53M (Peak 7732.34M) | Time:00:02.15 | Compositing | Operation 68-133
Fra:1 Mem:7099.53M (Peak 7732.34M) | Time:00:02.15 | Compositing | Operation 69-133
Fra:1 Mem:7099.53M (Peak 7732.34M) | Time:00:02.23 | Compositing | Operation 70-133
Fra:1 Mem:7099.53M (Peak 7732.34M) | Time:00:02.31 | Compositing | Operation 71-133
Fra:1 Mem:7099.53M (Peak 7732.34M) | Time:00:02.31 | Compositing | Operation 72-133
Fra:1 Mem:7226.09M (Peak 7732.34M) | Time:00:02.33 | Compositing | Operation 73-133
Fra:1 Mem:6846.41M (Peak 7732.34M) | Time:00:02.37 | Compositing | Operation 74-133
Fra:1 Mem:6719.84M (Peak 7732.34M) | Time:00:02.40 | Compositing | Operation 75-133
Fra:1 Mem:6719.84M (Peak 7732.34M) | Time:00:02.40 | Compositing | Operation 76-133
Fra:1 Mem:6719.84M (Peak 7732.34M) | Time:00:02.40 | Compositing | Operation 77-133
Fra:1 Mem:7099.53M (Peak 7732.34M) | Time:00:02.46 | Compositing | Operation 78-133
Fra:1 Mem:8112.03M (Peak 8112.03M) | Time:00:02.81 | Compositing | Operation 79-133
Fra:1 Mem:8112.04M (Peak 8112.04M) | Time:00:02.81 | Compositing | Operation 80-133
Fra:1 Mem:8112.04M (Peak 8112.04M) | Time:00:02.81 | Compositing | Operation 81-133
Fra:1 Mem:8618.29M (Peak 8618.29M) | Time:00:02.97 | Compositing | Operation 82-133
Fra:1 Mem:8618.29M (Peak 9124.54M) | Time:00:03.14 | Compositing | Operation 83-133
Fra:1 Mem:8238.60M (Peak 9124.54M) | Time:00:03.20 | Compositing | Operation 84-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.26 | Compositing | Operation 85-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.26 | Compositing | Operation 86-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.26 | Compositing | Operation 87-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.34 | Compositing | Operation 88-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.34 | Compositing | Operation 89-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.34 | Compositing | Operation 90-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.41 | Compositing | Operation 91-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.45 | Compositing | Operation 92-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.52 | Compositing | Operation 93-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.66 | Compositing | Operation 94-133
Fra:1 Mem:7858.92M (Peak 9124.54M) | Time:00:03.77 | Compositing | Operation 95-133
Fra:1 Mem:8365.17M (Peak 9124.54M) | Time:00:03.84 | Compositing | Operation 96-133
Fra:1 Mem:8744.85M (Peak 9124.54M) | Time:00:03.90 | Compositing | Operation 97-133
Fra:1 Mem:9251.10M (Peak 9251.10M) | Time:00:03.97 | Compositing | Operation 98-133
Fra:1 Mem:9630.79M (Peak 9757.35M) | Time:00:04.02 | Compositing | Operation 99-133
Fra:1 Mem:9251.10M (Peak 9757.35M) | Time:00:04.06 | Compositing | Operation 100-133
Fra:1 Mem:8871.42M (Peak 9757.35M) | Time:00:04.11 | Compositing | Operation 101-133
Fra:1 Mem:8491.73M (Peak 9757.35M) | Time:00:04.16 | Compositing | Operation 102-133
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:04.21 | Compositing | Operation 103-133
