Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_futureSim_refactored\blender\compositor\canonical_templates\proposal_and_interventions.blend"
Fra:1 Mem:8112.74M (Peak 8112.74M) | Time:00:03.45 | Compositing | Operation 57-151
Fra:1 Mem:8239.30M (Peak 8239.30M) | Time:00:03.47 | Compositing | Operation 58-151
Fra:1 Mem:8239.30M (Peak 8239.30M) | Time:00:03.47 | Compositing | Operation 59-151
Fra:1 Mem:8239.30M (Peak 8239.30M) | Time:00:03.47 | Compositing | Operation 60-151
Fra:1 Mem:8239.30M (Peak 8365.86M) | Time:00:03.50 | Compositing | Operation 61-151
Fra:1 Mem:8239.30M (Peak 8365.86M) | Time:00:03.50 | Compositing | Operation 62-151
Fra:1 Mem:8239.30M (Peak 8365.86M) | Time:00:03.50 | Compositing | Operation 63-151
Fra:1 Mem:8365.86M (Peak 8365.86M) | Time:00:03.53 | Compositing | Operation 64-151
Fra:1 Mem:8365.86M (Peak 8365.86M) | Time:00:03.53 | Compositing | Operation 65-151
Fra:1 Mem:8365.86M (Peak 8365.86M) | Time:00:03.53 | Compositing | Operation 66-151
Fra:1 Mem:8365.86M (Peak 8492.42M) | Time:00:03.55 | Compositing | Operation 67-151
Fra:1 Mem:8365.86M (Peak 8492.42M) | Time:00:03.55 | Compositing | Operation 68-151
Fra:1 Mem:8365.86M (Peak 8492.42M) | Time:00:03.55 | Compositing | Operation 69-151
Fra:1 Mem:8492.42M (Peak 8492.42M) | Time:00:03.57 | Compositing | Operation 70-151
Fra:1 Mem:8492.42M (Peak 8492.42M) | Time:00:03.57 | Compositing | Operation 71-151
Fra:1 Mem:8492.42M (Peak 8492.42M) | Time:00:03.57 | Compositing | Operation 72-151
Fra:1 Mem:8618.99M (Peak 8618.99M) | Time:00:03.59 | Compositing | Operation 73-151
Fra:1 Mem:8618.99M (Peak 8618.99M) | Time:00:03.59 | Compositing | Operation 74-151
Fra:1 Mem:8618.99M (Peak 8618.99M) | Time:00:03.59 | Compositing | Operation 75-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.62 | Compositing | Operation 76-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.62 | Compositing | Operation 77-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.62 | Compositing | Operation 78-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.64 | Compositing | Operation 79-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.64 | Compositing | Operation 80-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.64 | Compositing | Operation 81-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.67 | Compositing | Operation 82-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.67 | Compositing | Operation 83-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.67 | Compositing | Operation 84-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.70 | Compositing | Operation 85-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.70 | Compositing | Operation 86-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.70 | Compositing | Operation 87-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.72 | Compositing | Operation 88-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.72 | Compositing | Operation 89-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.72 | Compositing | Operation 90-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.75 | Compositing | Operation 91-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.75 | Compositing | Operation 92-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.75 | Compositing | Operation 93-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.77 | Compositing | Operation 94-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.77 | Compositing | Operation 95-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.77 | Compositing | Operation 96-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.80 | Compositing | Operation 97-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.80 | Compositing | Operation 98-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.80 | Compositing | Operation 99-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.82 | Compositing | Operation 100-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.82 | Compositing | Operation 101-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.82 | Compositing | Operation 102-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.85 | Compositing | Operation 103-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.85 | Compositing | Operation 104-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.85 | Compositing | Operation 105-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.89 | Compositing | Operation 106-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.89 | Compositing | Operation 107-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.89 | Compositing | Operation 108-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.91 | Compositing | Operation 109-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.91 | Compositing | Operation 110-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.91 | Compositing | Operation 111-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.94 | Compositing | Operation 112-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.94 | Compositing | Operation 113-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.94 | Compositing | Operation 114-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.96 | Compositing | Operation 115-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.99 | Compositing | Operation 116-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:03.99 | Compositing | Operation 117-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.01 | Compositing | Operation 118-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.01 | Compositing | Operation 119-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.04 | Compositing | Operation 120-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.04 | Compositing | Operation 121-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.06 | Compositing | Operation 122-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.06 | Compositing | Operation 123-151
